Customer ID,Customer Name,City,Country,Year,Quarter,Month,Day,Order ID,Postal Code,Product ID,Product Name,Profit Margin,Region,Segment,Year,Quarter,Month,Day,State,Ship Mode,Sub-Category,Total Customers,Total Orders,Total Profit,Total Sales,Sum of Sales,Count of Row ID,Sum of Quantity,Sum of Profit,Sum of Discount,Category
AA-10315,Alex Avila,Minneapolis,United States,2017,Qtr 2,June,29,CA-2017-147039,55407,OFF-AP-10000576,"Belkin 325VA UPS Surge Protector, 6'",25,Central,Consumer,2017,Qtr 3,July,4,Minnesota,Standard Class,Appliances,1,1,90.735,362.94,362.94,1,3,90.735,0,Office Supplies
AA-10315,Alex Avila,Minneapolis,United States,2017,Qtr 2,June,29,CA-2017-147039,55407,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,50,Central,Consumer,2017,Qtr 3,July,4,Minnesota,Standard Class,Binders,1,1,5.77,11.54,11.54,1,2,5.77,0,Office Supplies
AA-10315,Alex Avila,New York City,United States,2014,Qtr 3,September,15,CA-2014-138100,10011,FUR-FU-10002456,"Master Caster Door Stop, Large Neon Orange",42.99999999999999,East,Consumer,2014,Qtr 3,September,20,New York,Standard Class,Furnishings,1,1,6.2608,14.56,14.56,1,2,6.2608,0,Furniture
AA-10315,Alex Avila,New York City,United States,2014,Qtr 3,September,15,CA-2014-138100,10011,OFF-PA-10000349,Easy-staple paper,47,East,Consumer,2014,Qtr 3,September,20,New York,Standard Class,Paper,1,1,7.0218,14.94,14.94,1,3,7.0218,0,Office Supplies
AA-10315,Alex Avila,Round Rock,United States,2016,Qtr 1,March,3,CA-2016-103982,78664,OFF-FA-10001332,"Acco Banker's Clasps, 5 3/4""-Long",33.75,Central,Consumer,2016,Qtr 1,March,8,Texas,Standard Class,Fasteners,1,1,0.7776,2.304,2.304,1,1,0.7776,0.2,Office Supplies
AA-10315,Alex Avila,Round Rock,United States,2016,Qtr 1,March,3,CA-2016-103982,78664,OFF-SU-10000151,High Speed Automatic Electric Letter Opener,-20,Central,Consumer,2016,Qtr 1,March,8,Texas,Standard Class,Supplies,1,1,-786.0144,3930.072,3930.072,1,3,-786.0144,0.2,Office Supplies
AA-10315,Alex Avila,Round Rock,United States,2016,Qtr 1,March,3,CA-2016-103982,78664,TEC-AC-10002857,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",13.750000000000002,Central,Consumer,2016,Qtr 1,March,8,Texas,Standard Class,Accessories,1,1,5.7365,41.72,41.72,1,7,5.7365,0.2,Technology
AA-10315,Alex Avila,Round Rock,United States,2016,Qtr 1,March,3,CA-2016-103982,78664,TEC-PH-10000895,Polycom VVX 310 VoIP phone,7.500000000000001,Central,Consumer,2016,Qtr 1,March,8,Texas,Standard Class,Phones,1,1,32.3982,431.976,431.976,1,3,32.3982,0.2,Technology
AA-10315,Alex Avila,San Francisco,United States,2014,Qtr 1,March,31,CA-2014-128055,94122,OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,28.000000000000004,West,Consumer,2014,Qtr 2,April,5,California,Standard Class,Appliances,1,1,14.8344,52.98,52.98,1,2,14.8344,0,Office Supplies
AA-10315,Alex Avila,San Francisco,United States,2014,Qtr 1,March,31,CA-2014-128055,94122,OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,37.5,West,Consumer,2014,Qtr 2,April,5,California,Standard Class,Binders,1,1,252.588,673.568,673.568,1,2,252.588,0.2,Office Supplies
AA-10315,Alex Avila,San Francisco,United States,2015,Qtr 4,October,4,CA-2015-121391,94109,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",26,West,Consumer,2015,Qtr 4,October,7,California,First Class,Storage,1,1,7.0096,26.96,26.96,1,2,7.0096,0,Office Supplies
AA-10375,Allen Armold,Atlanta,United States,2016,Qtr 4,November,14,CA-2016-131065,30318,OFF-BI-10004970,"ACCOHIDE 3-Ring Binder, Blue, 1""",47,South,Consumer,2016,Qtr 4,November,16,Georgia,Second Class,Binders,1,1,3.8822,8.26,8.26,1,2,3.8822,0,Office Supplies
AA-10375,Allen Armold,Atlanta,United States,2016,Qtr 4,November,14,CA-2016-131065,30318,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),44.99999999999999,South,Consumer,2016,Qtr 4,November,16,Georgia,Second Class,Paper,1,1,2.376,5.28,5.28,1,1,2.376,0,Office Supplies
AA-10375,Allen Armold,Atlanta,United States,2016,Qtr 4,November,14,CA-2016-131065,30318,TEC-AC-10004145,Logitech diNovo Edge Keyboard,23,South,Consumer,2016,Qtr 4,November,16,Georgia,Second Class,Accessories,1,1,114.9954,499.98,499.98,1,2,114.9954,0,Technology
AA-10375,Allen Armold,Lebanon,United States,2015,Qtr 4,November,13,CA-2015-114503,37087,OFF-ST-10003572,Portfile Personal File Boxes,7.500000000000001,South,Consumer,2015,Qtr 4,November,17,Tennessee,Standard Class,Storage,1,1,6.372,84.96,84.96,1,6,6.372,0.2,Office Supplies
AA-10375,Allen Armold,Los Angeles,United States,2014,Qtr 2,April,21,CA-2014-158064,90008,OFF-BI-10002976,ACCOHIDE Binder by Acco,33.75,West,Consumer,2014,Qtr 2,April,25,California,Standard Class,Binders,1,1,5.5755,16.52,16.52,1,5,5.5755,0.2,Office Supplies
AA-10375,Allen Armold,Mesa,United States,2016,Qtr 3,July,10,CA-2016-126613,85204,OFF-ST-10001325,Sterilite Officeware Hinged File Box,8.75,West,Consumer,2016,Qtr 3,July,16,Arizona,Standard Class,Storage,1,1,1.4672,16.768,16.768,1,2,1.4672,0.2,Office Supplies
AA-10375,Allen Armold,New York City,United States,2017,Qtr 4,December,11,CA-2017-100230,10035,OFF-BI-10002498,Clear Mylar Reinforcing Strips,33.75,East,Consumer,2017,Qtr 4,December,15,New York,Standard Class,Binders,1,1,5.0463,14.952,14.952,1,1,5.0463,0.2,Office Supplies
AA-10375,Allen Armold,New York City,United States,2017,Qtr 4,December,11,CA-2017-100230,10035,OFF-PA-10002245,Xerox 1895,45,East,Consumer,2017,Qtr 4,December,15,New York,Standard Class,Paper,1,1,8.073,17.94,17.94,1,3,8.073,0,Office Supplies
